,amphet,amyl,benzos,cannabis,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,vsa
nscore,0.03866014217729467,0.0,0.41747336352398823,-0.12940229922342936,0.24085662264366628,0.3626680977623766,0.03381099489694325,0.3820555401071135,0.09818510708288415,-0.029527533822275923,-0.13519014006671437,0.24626711119763584,-0.12380476238727968,0.04076935025085287,0.03100219714710898
escore,0.0,0.0,0.007231344993088716,-0.05666807172044137,0.2868753842583711,0.6103727495940152,0.16189979188128523,-0.12033520306800194,0.003988465893091683,-0.10328067297708848,-0.013799837637817473,-0.10177147470720838,0.06122304602577352,-0.025318674809282297,0.0
oscore,0.08501100476429015,0.0,0.1581137160817953,0.5639331183527394,0.029475111492587542,-0.13754760181416806,0.16528290338966756,0.05226995524661523,0.1564853730855864,0.33947935483447794,0.5078889881930937,0.1364851028817543,0.37738228947511165,0.15942279767047393,0.0
ascore,-0.10565233449068226,-0.24956449826004273,-0.08669273937874566,0.03668755766272489,-0.24378093167309683,-0.8233896317231763,0.016174042888227838,-0.26860537937266626,-0.14567917951768422,-0.011952070611628424,0.07261493685384543,-0.1938356240215666,-0.037778087272684606,0.0,0.0
cscore,-0.11247038422547023,0.0,0.029014903673595716,-0.3888680305268855,-0.09201614260381012,0.353737358600869,-0.17688879029364582,0.04010070091568617,-0.1033968364322981,-0.1454352448152973,0.0,-0.0077760458721813025,-0.037084575076385906,-0.19833635934533742,-0.06060726437434359
impuslive,0.2283257000796265,0.0,0.08842641292776647,-0.013399116213302226,0.1349781193271849,0.17584469008955803,0.0,0.29214838376591407,0.026366738255069234,0.0109865323240392,-0.06468953118448656,0.039766603115133,0.08625567357534843,0.0,0.0
ss,0.25201415115855663,0.3382165277267218,0.20036294687298137,0.5285813975829483,0.31861033689506707,0.15065840172627487,0.45797469080856856,0.21012160619963766,0.4018162471556984,0.5138074516948988,0.31896451721956776,0.1732670353448473,0.23508800825711965,0.39982056129616605,0.19652691837624384
