,amphet,amyl,benzos,cannabis,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,vsa
nscore,0.026389579594704827,0.012787021357602155,0.4151744433360882,-0.12392126220751759,0.1549490596686096,0.06667858280531415,0.030007561020510557,0.11527627872915132,0.007442944241919256,-0.004544587157156939,-0.03705696904498287,0.13946757744844585,-0.05907604622660656,0.07623418947912321,0.0469612866655551
escore,-0.007308973420535983,-0.027974970024365414,-0.007215534423290604,-0.09654095389155108,0.17866708421422473,0.006396199342435167,0.1214708585859559,-0.004209558375280941,-0.022383410888242198,-0.11223839668327888,-0.006348570696927211,-0.0627653753405374,0.0017044422449042384,0.02192076362916424,-0.019735263181311358
oscore,0.04693373163521858,0.028800876375809373,0.1058686025010503,0.43996512565478035,0.03823218749603743,0.009553896914059754,0.15792602459372054,0.024058467735913386,0.11915505919262284,0.2510891180143614,0.2765220068284492,0.032455690017885536,0.2339141209311387,0.13364815554965948,0.012780613037543118
ascore,-0.059309836667770656,-0.05728116208200498,-0.0416628142026253,-0.0571825374578025,-0.1679403614841058,-0.009184218718286606,-0.006818018467337185,-0.06180866479565995,-0.06663799029300486,-0.00036650833336327696,0.006760464864824611,-0.0780497257207757,-0.0352197605898382,-0.013360749896921015,-0.03147562191648175
cscore,-0.09697735934062975,-0.0412248774563179,0.021657288801731973,-0.189113233263515,-0.06076300400471634,-0.011557021692584832,-0.14412451741626983,0.0014404096157104975,-0.07145559496684184,-0.10025187986353117,-0.03786741475055339,-0.005394649822318786,-0.04456358472653911,-0.16985730410274438,-0.010263138878474909
impuslive,0.1735953148031207,-0.0012120092767179567,0.10764509855721967,0.035573688786190036,0.0784273630172238,0.05982528938097407,-0.007183209104970515,0.05912777010001789,0.011991978978661966,-0.0105475814464409,-0.04890810121935675,0.04822534923456219,0.06288861217695801,0.1113129114493175,0.0045301668107444225
ss,0.1432959986211117,0.21918295837521662,0.12364725891793625,0.33797525987765886,0.2018017819747168,0.056990595046718974,0.2292937605949065,0.06680786109329118,0.13216485169945058,0.2763230968307463,0.163650800683871,0.07259690150679543,0.1318711847911109,0.35189920466120755,0.13996663313246438
